                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.468,                 1.2498,                  1.723,                0.80392,                0.76029,                0.82147,                 0.4643,                 1.3751,                 1.0427,                 1.7319,              0.0099366,              0.0099366,              0.0099366
                     35,                 1.4494,                 1.2559,                 1.7247,                0.79704,                0.76956,                0.81731,                0.45937,                 1.3908,                 1.0373,                 1.7454,              0.0099347,              0.0099347,              0.0099347
                     36,                 1.4507,                 1.2494,                 1.7185,                0.79815,                0.77481,                0.82202,                0.46571,                 1.3679,                 1.0202,                 1.7196,              0.0099327,              0.0099327,              0.0099327
                     37,                 1.4348,                 1.1959,                 1.6931,                0.81648,                0.78135,                0.83534,                 0.4763,                 1.3892,                0.98991,                 1.7248,              0.0099307,              0.0099307,              0.0099307
                     38,                 1.4359,                 1.2239,                 1.6927,                0.81718,                0.77476,                 0.8328,                 0.4774,                 1.3483,                0.99017,                  1.702,              0.0099287,              0.0099287,              0.0099287
                     39,                 1.4261,                 1.2128,                 1.6975,                0.81669,                0.77711,                0.83483,                0.47562,                  1.358,                 1.0151,                 1.7082,              0.0099267,              0.0099267,              0.0099267
                     40,                 1.4163,                 1.2154,                 1.6975,                0.80348,                0.78351,                0.82461,                  0.467,                 1.3702,                0.99278,                 1.7161,              0.0099248,              0.0099248,              0.0099248
                     41,                 1.4125,                 1.1823,                 1.6711,                0.82407,                0.79193,                0.84667,                0.49149,                 1.3398,                0.94743,                 1.6898,              0.0099228,              0.0099228,              0.0099228
                     42,                 1.4278,                 1.1934,                 1.6891,                0.80431,                0.79629,                0.84382,                0.49415,                 1.3367,                0.96084,                 1.6889,              0.0099208,              0.0099208,              0.0099208
                     43,                 1.4112,                 1.1698,                 1.6659,                0.82464,                0.79823,                0.84741,                0.49415,                  1.327,                0.93249,                 1.6693,              0.0099188,              0.0099188,              0.0099188
                     44,                 1.4139,                 1.1558,                 1.6701,                0.83076,                0.79423,                 0.8484,                0.49824,                  1.313,                0.93525,                 1.6533,              0.0099168,              0.0099168,              0.0099168
                     45,                 1.3935,                  1.124,                  1.638,                0.83415,                0.79425,                0.84724,                0.49768,                 1.3117,                 0.9264,                 1.6584,              0.0099149,              0.0099149,              0.0099149
                     46,                 1.3988,                  1.136,                 1.6658,                0.82093,                0.79081,                0.85133,                0.50637,                 1.2868,                0.91426,                  1.634,              0.0099129,              0.0099129,              0.0099129
                     47,                 1.3813,                 1.1336,                 1.6613,                0.84152,                0.79431,                0.85332,                0.50055,                  1.311,                0.92371,                 1.6535,              0.0099109,              0.0099109,              0.0099109
                     48,                 1.3975,                 1.1362,                 1.6628,                0.82451,                0.80284,                 0.8576,                0.51019,                 1.2931,                0.90806,                 1.6356,              0.0099089,              0.0099089,              0.0099089
                     49,                 1.3835,                 1.1043,                 1.6488,                0.82976,                0.79735,                   0.85,                 0.5061,                 1.2901,                0.90724,                 1.6337,              0.0099069,              0.0099069,              0.0099069
                     50,                 1.3961,                 1.1223,                 1.6522,                0.84263,                0.80296,                0.86253,                0.51035,                 1.2963,                0.90821,                 1.6426,               0.009905,               0.009905,               0.009905
                     51,                 1.3869,                 1.1303,                 1.6552,                0.84675,                0.81091,                  0.867,                0.51945,                 1.2823,                0.87267,                 1.6197,               0.009903,               0.009903,               0.009903
                     52,                 1.3722,                 1.1013,                 1.6296,                0.84057,                 0.8096,                0.86803,                0.51477,                 1.2901,                0.88206,                 1.6235,               0.009901,               0.009901,               0.009901
                     53,                 1.3755,                 1.1036,                 1.6256,                0.83529,                0.79467,                0.85439,                0.50791,                 1.2751,                0.89361,                 1.6185,               0.009899,               0.009899,               0.009899
                     54,                 1.3896,                 1.1264,                 1.6521,                0.85311,                0.81143,                0.87176,                0.52816,                 1.2569,                0.85961,                 1.5991,               0.009897,               0.009897,               0.009897
                     55,                 1.3669,                 1.0993,                 1.6231,                0.84927,                0.81557,                0.87083,                0.51933,                 1.2708,                  0.867,                 1.6168,              0.0098951,              0.0098951,              0.0098951
                     56,                   1.36,                 1.0942,                 1.6293,                 0.8346,                0.81148,                0.86722,                0.52034,                 1.2667,                0.87164,                 1.6133,              0.0098931,              0.0098931,              0.0098931
                     57,                 1.3663,                 1.0887,                 1.6263,                0.85176,                0.82473,                0.87598,                 0.5259,                 1.2645,                 0.8406,                 1.6025,              0.0098911,              0.0098911,              0.0098911
                     58,                  1.346,                 1.0702,                 1.6031,                0.85474,                0.83002,                0.88125,                0.53185,                 1.2495,                0.84693,                 1.5946,              0.0098891,              0.0098891,              0.0098891
                     59,                 1.3597,                  1.082,                 1.6177,                0.84853,                0.81991,                0.88007,                0.53202,                 1.2522,                 0.8501,                 1.5974,              0.0098871,              0.0098871,              0.0098871
                     60,                 1.3382,                 1.0444,                 1.5997,                0.84469,                0.83642,                0.88134,                0.53319,                 1.2523,                0.81872,                 1.5861,              0.0098852,              0.0098852,              0.0098852
                     61,                 1.3396,                 1.0697,                 1.5966,                0.85235,                0.82582,                0.87958,                0.53064,                 1.2381,                0.83566,                 1.5831,              0.0098832,              0.0098832,              0.0098832
                     62,                  1.337,                 1.0342,                 1.5985,                0.86096,                0.83606,                0.88667,                0.53795,                 1.2279,                 0.8164,                 1.5744,              0.0098812,              0.0098812,              0.0098812
                     63,                 1.3224,                 1.0312,                 1.5845,                0.87602,                0.82388,                0.88505,                0.54517,                 1.2286,                0.81806,                 1.5792,              0.0098792,              0.0098792,              0.0098792
                     64,                 1.3326,                 1.0426,                 1.5926,                0.85284,                0.83624,                0.88797,                0.54789,                 1.2162,                0.81973,                  1.562,              0.0098772,              0.0098772,              0.0098772
                     65,                 1.3313,                 1.0485,                 1.5958,                0.86288,                0.83693,                0.88704,                0.54648,                 1.2269,                0.80891,                 1.5681,              0.0098753,              0.0098753,              0.0098753
                     66,                 1.3228,                 1.0365,                 1.5775,                0.85389,                0.83621,                0.88565,                0.54306,                 1.2178,                0.82391,                 1.5548,              0.0098733,              0.0098733,              0.0098733
                     67,                 1.3305,                 1.0226,                 1.5891,                0.85853,                0.84331,                0.88995,                0.54776,                 1.2227,                 0.8004,                 1.5628,              0.0098713,              0.0098713,              0.0098713
                     68,                 1.3031,                 1.0159,                 1.5785,                0.87368,                0.83232,                0.89369,                0.55332,                 1.2078,                0.78976,                 1.5477,              0.0098693,              0.0098693,              0.0098693
                     69,                 1.3181,                 1.0124,                 1.5715,                0.86066,                0.84037,                0.89171,                0.54709,                  1.217,                0.79043,                 1.5502,              0.0098673,              0.0098673,              0.0098673
                     70,                 1.3047,                 1.0048,                 1.5612,                0.84778,                0.84143,                0.88988,                0.54919,                 1.2111,                0.79813,                 1.5485,              0.0098654,              0.0098654,              0.0098654
                     71,                 1.3033,                0.99365,                 1.5607,                0.86294,                0.83876,                  0.893,                0.55386,                 1.2104,                0.78643,                 1.5444,              0.0098634,              0.0098634,              0.0098634
                     72,                 1.3113,                 1.0049,                 1.5744,                0.86989,                0.83256,                0.89595,                0.55514,                 1.2056,                 0.7847,                 1.5468,              0.0098614,              0.0098614,              0.0098614
                     73,                 1.2989,                 1.0099,                 1.5706,                0.86252,                0.84946,                0.89771,                0.56106,                 1.1939,                0.77934,                 1.5388,              0.0098594,              0.0098594,              0.0098594
                     74,                 1.3115,                  1.001,                 1.5684,                0.86812,                0.85373,                0.89938,                0.56133,                 1.1863,                0.75622,                 1.5193,              0.0098574,              0.0098574,              0.0098574
                     75,                 1.3236,                 1.0116,                 1.5752,                0.87339,                0.84638,                 0.9006,                0.56492,                 1.1932,                0.76912,                 1.5272,              0.0098555,              0.0098555,              0.0098555
                     76,                 1.2878,                0.98663,                 1.5652,                0.87243,                0.84432,                0.90095,                 0.5635,                 1.1957,                  0.757,                 1.5258,              0.0098535,              0.0098535,              0.0098535
                     77,                  1.287,                0.96852,                 1.5361,                0.85408,                 0.8457,                0.89727,                0.56249,                 1.1977,                0.76864,                 1.5238,              0.0098515,              0.0098515,              0.0098515
                     78,                 1.3062,                 0.9881,                 1.5614,                0.87014,                0.85332,                0.90121,                 0.5611,                 1.1948,                0.76661,                  1.524,              0.0098495,              0.0098495,              0.0098495
                     79,                 1.3001,                0.97882,                 1.5495,                 0.8743,                0.85513,                0.90277,                0.56251,                 1.1956,                0.75771,                 1.5275,              0.0098475,              0.0098475,              0.0098475
                     80,                 1.2887,                0.97266,                 1.5443,                0.88358,                0.85469,                0.90824,                0.57266,                 1.1756,                 0.7507,                 1.5169,              0.0098456,              0.0098456,              0.0098456
                     81,                 1.2993,                0.97632,                 1.5449,                0.87684,                 0.8432,                0.90322,                0.56844,                  1.185,                0.74383,                  1.523,              0.0098436,              0.0098436,              0.0098436
                     82,                 1.2815,                0.95977,                 1.5477,                 0.8746,                0.85289,                0.90471,                0.56813,                  1.178,                0.74958,                 1.5141,              0.0098416,              0.0098416,              0.0098416
                     83,                 1.2898,                0.96621,                 1.5495,                 0.8725,                0.85793,                0.90356,                0.57173,                 1.1717,                0.74444,                 1.5079,              0.0098396,              0.0098396,              0.0098396
                     84,                 1.2804,                0.96575,                 1.5359,                0.87037,                 0.8558,                0.90555,                0.56872,                 1.1845,                0.75421,                 1.5125,              0.0098376,              0.0098376,              0.0098376
                     85,                 1.2749,                0.94507,                 1.5264,                0.87202,                0.86105,                0.90951,                0.57352,                 1.1756,                0.73532,                 1.5055,              0.0098357,              0.0098357,              0.0098357
                     86,                 1.2719,                0.95582,                 1.5165,                0.86718,                0.86065,                0.90471,                 0.5746,                  1.179,                  0.741,                 1.5075,              0.0098337,              0.0098337,              0.0098337
